,Repository_Name,Owner,Description,URL,Programming_Language,Creation_Date,Last_Updated_Date,Number_of_Stars,Number_of_Forks,Number_of_Open_Issues,License_Type
0,genai-stack,docker,Langchain + Docker + Neo4j + Ollama,https://github.com/docker/genai-stack,Python,2023-09-13T12:03:09Z,2024-10-06T13:05:27Z,3862,829,78,Creative Commons Zero v1.0 Universal
1,GenAI-Showcase,mongodb-developer,GenAI Cookbook,https://github.com/mongodb-developer/GenAI-Showcase,Jupyter Notebook,2024-01-30T14:20:36Z,2024-10-05T16:49:24Z,382,79,4,MIT License
2,GenAI_Agents,NirDiamant,"This repository provides tutorials and implementations for various Generative AI Agent techniques, from basic to advanced. It serves as a comprehensive guide for building intelligent, interactive AI systems.",https://github.com/NirDiamant/GenAI_Agents,Jupyter Notebook,2024-09-09T20:10:19Z,2024-10-06T15:19:43Z,3305,329,1,Other
3,YiVal,YiVal,Your Automatic Prompt Engineering Assistant for GenAI Applications,https://github.com/YiVal/YiVal,Python,2023-07-15T02:04:35Z,2024-10-06T10:18:55Z,2637,427,18,Apache License 2.0
4,aws-genai-llm-chatbot,aws-samples,"A modular and comprehensive solution to deploy a Multi-LLM and Multi-RAG powered chatbot (Amazon Bedrock, Anthropic, HuggingFace, OpenAI, Meta, AI21, Cohere, Mistral) using AWS CDK on AWS",https://github.com/aws-samples/aws-genai-llm-chatbot,TypeScript,2023-06-16T17:27:27Z,2024-10-02T14:21:33Z,1061,320,54,MIT No Attribution
5,genai,rgbkrk,What if GPT could help you notebook?,https://github.com/rgbkrk/genai,Python,2022-07-09T14:22:09Z,2024-10-01T06:03:05Z,352,37,8,"BSD 3-Clause ""New"" or ""Revised"" License"
6,genaiops-promptflow-template,microsoft,"GenAIOps with Prompt Flow is a ""GenAIOps template and guidance"" to help you build LLM-infused apps using Prompt Flow. It offers a range of features including Centralized Code Hosting, Lifecycle Management, Variant and Hyperparameter Experimentation, A/B Deployment, reporting for all runs and experiments and so on.",https://github.com/microsoft/genaiops-promptflow-template,Python,2023-10-12T08:03:55Z,2024-10-05T18:54:01Z,252,225,25,Other
7,GenAIExamples,opea-project,"Generative AI Examples is a collection of GenAI examples such as ChatQnA, Copilot, which illustrate the pipeline capabilities of the Open Platform for Enterprise AI (OPEA) project.",https://github.com/opea-project/GenAIExamples,Shell,2024-03-20T21:09:40Z,2024-10-05T09:49:41Z,237,152,118,Apache License 2.0
8,onnxruntime-genai,microsoft,Generative AI extensions for onnxruntime,https://github.com/microsoft/onnxruntime-genai,C++,2023-11-13T20:37:15Z,2024-10-06T00:07:33Z,451,109,79,MIT License
9,openvino.genai,openvinotoolkit,Run Generative AI models using native OpenVINO C++ API,https://github.com/openvinotoolkit/openvino.genai,C++,2023-10-16T13:38:16Z,2024-10-05T05:55:47Z,116,155,57,Apache License 2.0
10,GenAIComps,opea-project,GenAI components at micro-service level; GenAI service composer to create mega-service,https://github.com/opea-project/GenAIComps,Python,2024-04-19T10:43:47Z,2024-10-03T23:40:31Z,52,111,72,Apache License 2.0
11,RAG_Techniques,NirDiamant,This repository showcases various advanced techniques for Retrieval-Augmented Generation (RAG) systems. RAG systems combine information retrieval with generative models to provide accurate and contextually rich responses.,https://github.com/NirDiamant/RAG_Techniques,Jupyter Notebook,2024-07-13T16:08:36Z,2024-10-06T15:03:11Z,7102,709,2,Other
