,Repository_Name,Owner,Description,URL,Programming_Language,Creation_Date,Last_Updated_Date,Number_of_Stars,Number_of_Forks,Number_of_Open_Issues,License_Type
0,titan,thinkaurelius,Distributed Graph Database,https://github.com/thinkaurelius/titan,Java,2012-02-25T22:53:53Z,2024-10-05T05:50:47Z,5248,1013,181,Apache License 2.0
1,cayley,cayleygraph,An open-source graph database,https://github.com/cayleygraph/cayley,Go,2014-06-05T18:49:41Z,2024-10-06T16:04:04Z,14846,1251,93,Apache License 2.0
2,database,blazegraph,Blazegraph High Performance Graph Database,https://github.com/blazegraph/database,Java,2015-12-22T19:52:44Z,2024-10-03T20:50:32Z,892,172,163,GNU General Public License v2.0
3,neo4j,neo4j,Graphs for Everyone,https://github.com/neo4j/neo4j,Java,2012-11-12T08:46:15Z,2024-10-06T14:34:48Z,13206,2378,315,GNU General Public License v3.0
4,graphql-engine,hasura,"Blazing fast, instant realtime GraphQL APIs on your DB with fine grained access control, also trigger webhooks on database events.",https://github.com/hasura/graphql-engine,TypeScript,2018-06-18T07:57:36Z,2024-10-06T16:19:09Z,31102,2765,2357,Apache License 2.0
5,janusgraph,JanusGraph,"JanusGraph: an open-source, distributed graph database",https://github.com/JanusGraph/janusgraph,Java,2016-12-26T13:26:29Z,2024-10-06T15:00:53Z,5285,1166,532,Other
6,Graph,CosmicMind,Graph is a semantic database that is used to create data-driven applications.,https://github.com/CosmicMind/Graph,Swift,2015-02-11T16:02:02Z,2024-09-05T16:38:47Z,875,72,8,MIT License
7,RedisGraph,RedisGraph,A graph database as a Redis module,https://github.com/RedisGraph/RedisGraph,C,2017-03-09T15:37:25Z,2024-10-05T04:30:37Z,1998,229,411,Other
8,flockdb,twitter-archive,"A distributed, fault-tolerant graph database",https://github.com/twitter-archive/flockdb,Scala,2010-04-12T03:53:45Z,2024-10-04T20:02:55Z,3336,259,27,Other
9,surrealdb,surrealdb,"A scalable, distributed, collaborative, document-graph database, for the realtime web",https://github.com/surrealdb/surrealdb,Rust,2021-12-09T15:03:29Z,2024-10-06T16:59:59Z,27135,874,628,Other
10,atomspace,opencog,The OpenCog (hyper-)graph database and graph rewriting system,https://github.com/opencog/atomspace,C++,2015-04-27T16:32:57Z,2024-10-02T16:29:23Z,818,232,75,Other
