,Repository_Name,Owner,Description,URL,Programming_Language,Creation_Date,Last_Updated_Date,Number_of_Stars,Number_of_Forks,Number_of_Open_Issues,License_Type
0,notebooks,huggingface,Notebooks using the Hugging Face libraries 🤗,https://github.com/huggingface/notebooks,Jupyter Notebook,2020-06-15T13:55:11Z,2024-10-05T21:26:14Z,3589,1505,188,Apache License 2.0
1,course,huggingface,The Hugging Face course on Transformers,https://github.com/huggingface/course,MDX,2021-08-13T14:41:45Z,2024-10-05T04:33:54Z,2172,721,187,Apache License 2.0
2,diffusion-models-class,huggingface,Materials for the Hugging Face Diffusion Models Course,https://github.com/huggingface/diffusion-models-class,Jupyter Notebook,2022-10-13T09:13:48Z,2024-10-05T06:31:03Z,3565,385,20,Apache License 2.0
3,hub-docs,huggingface,Docs of the Hugging Face Hub,https://github.com/huggingface/hub-docs,Handlebars,2022-03-16T13:26:14Z,2024-10-06T04:12:42Z,275,237,107,Apache License 2.0
4,deep-rl-class,huggingface,This repo contains the syllabus of the Hugging Face Deep Reinforcement Learning Course.,https://github.com/huggingface/deep-rl-class,MDX,2022-04-21T10:19:17Z,2024-10-06T07:25:05Z,3839,588,35,Apache License 2.0
5,huggingface.js,huggingface,Utilities to use the Hugging Face Hub API,https://github.com/huggingface/huggingface.js,TypeScript,2023-02-06T18:37:09Z,2024-10-05T11:16:18Z,1370,213,130,MIT License
6,GPTFast,MDK8888,Accelerate your Hugging Face Transformers 7.6-9x. Native to Hugging Face and PyTorch.,https://github.com/MDK8888/GPTFast,Python,2024-02-18T22:53:00Z,2024-09-28T01:47:12Z,681,65,8,Apache License 2.0
7,awesome-papers,huggingface,Papers & presentation materials from Hugging Face's internal science day,https://github.com/huggingface/awesome-papers,,2020-03-11T15:42:41Z,2024-09-30T21:08:56Z,2028,119,0,
8,HuggingFace-Download-Accelerator,LetheSec,利用HuggingFace的官方下载工具从镜像网站进行高速下载。,https://github.com/LetheSec/HuggingFace-Download-Accelerator,Python,2023-11-27T13:19:40Z,2024-10-06T12:09:51Z,765,70,18,
9,ai-comic-factory,jbilcke-hf,Generate comic panels using a LLM + SDXL. Powered by Hugging Face 🤗,https://github.com/jbilcke-hf/ai-comic-factory,TypeScript,2023-08-25T14:47:46Z,2024-10-05T11:14:41Z,1000,207,8,Apache License 2.0
10,audio-transformers-course,huggingface,The Hugging Face Course on Transformers for Audio,https://github.com/huggingface/audio-transformers-course,MDX,2023-02-28T12:48:20Z,2024-10-04T20:57:29Z,320,98,42,Apache License 2.0
11,HuggingFaceModelDownloader,bodaay,Simple go utility to download HuggingFace Models and Datasets,https://github.com/bodaay/HuggingFaceModelDownloader,Go,2023-06-22T08:17:11Z,2024-10-06T15:09:20Z,473,49,18,Apache License 2.0
12,transformer-deploy,ELS-RD,"Efficient, scalable and enterprise-grade CPU/GPU inference server for 🤗 Hugging Face transformer models 🚀",https://github.com/ELS-RD/transformer-deploy,Python,2021-10-31T11:20:14Z,2024-09-30T17:32:40Z,1645,149,55,Apache License 2.0
13,awesome-huggingface,huggingface,🤗 A list of wonderful open-source projects & applications integrated with Hugging Face libraries.,https://github.com/huggingface/awesome-huggingface,,2021-06-10T10:16:48Z,2024-10-06T13:51:46Z,872,77,4,Apache License 2.0
14,workshops,huggingface,Materials for workshops on the Hugging Face ecosystem,https://github.com/huggingface/workshops,Jupyter Notebook,2021-09-17T17:07:39Z,2024-09-29T22:21:17Z,149,57,0,Apache License 2.0
15,huggingface-sagemaker-workshop-series,philschmid,Enterprise Scale NLP with Hugging Face & SageMaker Workshop series,https://github.com/philschmid/huggingface-sagemaker-workshop-series,Jupyter Notebook,2021-10-12T11:14:59Z,2024-09-28T01:35:26Z,230,56,3,MIT License
16,exporters,huggingface,Export Hugging Face models to Core ML and TensorFlow Lite,https://github.com/huggingface/exporters,Python,2022-05-23T10:57:55Z,2024-10-03T03:37:31Z,612,44,37,Apache License 2.0
