,Repository_Name,Owner,Description,URL,Programming_Language,Creation_Date,Last_Updated_Date,Number_of_Stars,Number_of_Forks,Number_of_Open_Issues,License_Type
0,langchain,langchain-ai,🦜🔗 Build context-aware reasoning applications,https://github.com/langchain-ai/langchain,Jupyter Notebook,2022-10-17T02:58:36Z,2024-10-06T15:15:08Z,93102,14969,816,MIT License
1,Langchain-Chatchat,chatchat-space,"Langchain-Chatchat（原Langchain-ChatGLM）基于 Langchain 与 ChatGLM, Qwen 与 Llama 等语言模型的 RAG 与 Agent 应用 | Langchain-Chatchat (formerly langchain-ChatGLM), local knowledge based LLM (like ChatGLM, Qwen and Llama) RAG and Agent app with langchain ",https://github.com/chatchat-space/Langchain-Chatchat,TypeScript,2023-03-31T12:12:45Z,2024-10-06T15:24:26Z,31463,5487,91,Apache License 2.0
2,langchainjs,langchain-ai,🦜🔗 Build context-aware reasoning applications 🦜🔗,https://github.com/langchain-ai/langchainjs,TypeScript,2023-02-06T22:50:27Z,2024-10-06T15:34:58Z,12422,2104,156,MIT License
3,langchain4j,langchain4j,Java version of LangChain,https://github.com/langchain4j/langchain4j,Java,2023-06-20T15:30:29Z,2024-10-06T14:19:22Z,4600,909,345,Apache License 2.0
4,langchain-tutorials,gkamradt,Overview and tutorial of the LangChain Library,https://github.com/gkamradt/langchain-tutorials,Jupyter Notebook,2023-02-13T18:24:18Z,2024-10-06T11:54:22Z,6677,1932,14,
5,gpt4-pdf-chatbot-langchain,mayooear,GPT4 & LangChain Chatbot for large PDF docs,https://github.com/mayooear/gpt4-pdf-chatbot-langchain,TypeScript,2023-03-17T01:23:26Z,2024-10-06T12:08:41Z,14870,3013,30,
6,chat-langchain,langchain-ai,,https://github.com/langchain-ai/chat-langchain,Python,2023-01-16T20:43:13Z,2024-10-05T12:20:04Z,5171,1235,133,MIT License
7,genai-stack,docker,Langchain + Docker + Neo4j + Ollama,https://github.com/docker/genai-stack,Python,2023-09-13T12:03:09Z,2024-10-06T13:05:27Z,3862,829,78,Creative Commons Zero v1.0 Universal
8,langchaingo,tmc,"LangChain for Go, the easiest way to write LLM-based programs in Go",https://github.com/tmc/langchaingo,Go,2023-02-18T20:04:54Z,2024-10-06T07:48:20Z,4419,598,208,MIT License
9,awesome-langchain,kyrolabs,😎 Awesome list of tools and projects with the awesome LangChain framework,https://github.com/kyrolabs/awesome-langchain,,2023-02-28T20:25:33Z,2024-10-06T14:48:15Z,7516,516,0,Creative Commons Zero v1.0 Universal
10,langchain4j-examples,langchain4j,,https://github.com/langchain4j/langchain4j-examples,Java,2023-06-20T16:04:18Z,2024-10-06T08:02:50Z,546,228,5,Apache License 2.0
11,langchain-experiments,daveebbelaar,Building Apps with LLMs,https://github.com/daveebbelaar/langchain-experiments,Jupyter Notebook,2023-04-20T13:42:17Z,2024-10-03T14:48:08Z,896,564,6,MIT License
12,langchain-hub,hwchase17,,https://github.com/hwchase17/langchain-hub,Python,2023-01-11T03:22:40Z,2024-10-05T10:54:37Z,3247,263,33,
13,langchain-tutorials,samwit,A set of LangChain Tutorials from my youtube channel ,https://github.com/samwit/langchain-tutorials,Jupyter Notebook,2023-06-13T03:05:27Z,2024-10-05T04:59:31Z,1328,352,8,
14,langchain-teacher,langchain-ai,Teach LangChain using LangChain!,https://github.com/langchain-ai/langchain-teacher,Python,2023-07-23T03:03:59Z,2024-10-04T14:47:36Z,231,86,6,
15,Chinese-LangChain,yanqiangmiffy,中文langchain项目|小必应，Q.Talk，强聊，QiangTalk,https://github.com/yanqiangmiffy/Chinese-LangChain,Python,2023-04-17T08:19:08Z,2024-10-04T04:11:41Z,2673,323,51,
16,langchain-nextjs-template,langchain-ai,LangChain + Next.js starter template,https://github.com/langchain-ai/langchain-nextjs-template,TypeScript,2023-07-28T23:20:05Z,2024-10-06T06:58:19Z,1426,306,17,MIT License
17,LangChain-Chinese-Getting-Started-Guide,liaokongVFX,LangChain 的中文入门教程,https://github.com/liaokongVFX/LangChain-Chinese-Getting-Started-Guide,,2023-04-07T13:15:12Z,2024-10-06T15:32:15Z,7362,594,16,
18,langchainrb,patterns-ai-core,Build LLM-powered applications in Ruby,https://github.com/patterns-ai-core/langchainrb,Ruby,2023-04-18T18:43:09Z,2024-10-05T23:17:30Z,1314,182,74,MIT License
19,LangchainDocuments,nicknochnack,,https://github.com/nicknochnack/LangchainDocuments,Python,2023-05-13T00:05:24Z,2024-10-03T14:48:12Z,251,131,4,
20,steamship-langchain,steamship-core,steamship-langchain,https://github.com/steamship-core/steamship-langchain,Python,2023-02-04T02:30:23Z,2024-10-02T20:30:41Z,512,95,6,MIT License
21,langchain-production-starter,steamship-core,Deploy LangChain Agents and connect them to Telegram,https://github.com/steamship-core/langchain-production-starter,Python,2023-04-13T17:04:29Z,2024-09-26T13:59:00Z,430,545,3,
