,Repository_Name,Owner,Description,URL,Programming_Language,Creation_Date,Last_Updated_Date,Number_of_Stars,Number_of_Forks,Number_of_Open_Issues,License_Type
0,langgraph,langchain-ai,Build resilient language agents as graphs.,https://github.com/langchain-ai/langgraph,Python,2023-08-09T18:33:12Z,2024-10-06T16:40:23Z,5975,938,82,MIT License
1,langgraph-studio,langchain-ai,Desktop app for prototyping and debugging LangGraph applications locally.,https://github.com/langchain-ai/langgraph-studio,,2024-07-29T22:11:00Z,2024-10-06T10:57:52Z,1647,111,56,
2,langgraph-example,langchain-ai,,https://github.com/langchain-ai/langgraph-example,Python,2024-05-07T17:43:31Z,2024-10-05T01:39:48Z,197,178,13,
3,langgraphjs,langchain-ai,⚡ Build language agents as graphs ⚡,https://github.com/langchain-ai/langgraphjs,TypeScript,2024-01-09T17:40:12Z,2024-10-06T14:00:32Z,538,80,50,MIT License
4,langgraph_streamlit_codeassistant,kturung,,https://github.com/kturung/langgraph_streamlit_codeassistant,Python,2024-06-30T09:59:39Z,2024-10-05T15:01:55Z,452,94,1,MIT License
5,graph_websearch_agent,john-adeojo,Websearch agent built on the LangGraph framework,https://github.com/john-adeojo/graph_websearch_agent,Python,2024-06-06T10:57:59Z,2024-10-06T10:40:48Z,226,88,5,MIT License
6,langgraph4j,bsorrentino,"🚀 LangGraph for Java. A library for building stateful, multi-actor applications with LLMs, built for work jointly with langchain4j",https://github.com/bsorrentino/langgraph4j,Java,2024-03-18T19:38:47Z,2024-10-05T13:46:53Z,84,14,10,MIT License
7,datavisualization_langgraph,DhruvAtreja,Questions? Contact me at @DhruvAtreja1,https://github.com/DhruvAtreja/datavisualization_langgraph,TypeScript,2024-09-09T17:19:13Z,2024-10-05T17:26:02Z,111,25,3,
8,LangGraph-Expense-Tracker,jwa91,LangGraph - FastAPI - Postgresql - AI project,https://github.com/jwa91/LangGraph-Expense-Tracker,Python,2024-04-24T00:26:26Z,2024-09-24T07:32:02Z,99,16,0,MIT License
9,langgraph-engineer,langchain-ai,,https://github.com/langchain-ai/langgraph-engineer,Jupyter Notebook,2024-02-23T23:11:51Z,2024-10-04T13:51:55Z,72,20,1,
10,LangGraphJourney,menloparklab,A repo to help you learn LangGraph,https://github.com/menloparklab/LangGraphJourney,Jupyter Notebook,2024-02-14T22:32:36Z,2024-09-30T04:53:09Z,56,28,0,
11,agent-service-toolkit,JoshuaC215,"Full toolkit for running an AI agent service built with LangGraph, FastAPI and Streamlit",https://github.com/JoshuaC215/agent-service-toolkit,Python,2024-08-04T23:13:44Z,2024-10-06T08:05:38Z,294,52,2,MIT License
12,langgraphjs-examples,bracesproul,Repository containing LangGraph.js🦜🕸️ examples,https://github.com/bracesproul/langgraphjs-examples,TypeScript,2024-08-26T22:23:13Z,2024-10-03T00:01:15Z,52,20,1,
13,lang-memgpt,langchain-ai,"A bot with memory, built on LangGraph Cloud.",https://github.com/langchain-ai/lang-memgpt,Python,2024-07-02T13:24:13Z,2024-10-05T00:30:10Z,64,29,4,MIT License
14,LangGraph-Tutorial,Coding-Crashkurse,,https://github.com/Coding-Crashkurse/LangGraph-Tutorial,Jupyter Notebook,2024-05-09T18:16:54Z,2024-09-16T00:49:13Z,44,21,1,
15,pandas-rag-langgraph,vbarda,,https://github.com/vbarda/pandas-rag-langgraph,Jupyter Notebook,2024-06-24T14:12:16Z,2024-09-29T06:37:59Z,48,13,0,
16,langgraphjs-studio-starter,langchain-ai,Example LangGraph.js project made to run in LangGraph Studio,https://github.com/langchain-ai/langgraphjs-studio-starter,TypeScript,2024-08-26T23:56:09Z,2024-10-04T01:31:32Z,21,9,0,MIT License
17,langgraph-customer-support,emarco177,,https://github.com/emarco177/langgraph-customer-support,Python,2024-06-13T04:51:37Z,2024-10-04T21:19:15Z,37,13,0,Apache License 2.0
18,LangGraph_Example,GaoDalie,Many tutorials on LangGraph,https://github.com/GaoDalie/LangGraph_Example,Python,2024-03-01T15:29:24Z,2024-10-03T14:48:47Z,27,8,0,
19,calm-langgraph-customer-service-comparison,RasaHQ,A reimplementation of langgraph's customer support example in Rasa's CALM paradigm and a quantiative evaluation of the 2 approaches,https://github.com/RasaHQ/calm-langgraph-customer-service-comparison,Jupyter Notebook,2024-08-06T07:11:26Z,2024-10-05T12:29:50Z,63,11,0,
20,MultiCoT,CYQIQ,Repository to demonstrate Chain of Table reasoning with multiple tables powered by LangGraph,https://github.com/CYQIQ/MultiCoT,Jupyter Notebook,2024-02-14T18:52:36Z,2024-09-21T12:53:18Z,144,24,3,
21,langgraphgo,tmc,langgraph for Go,https://github.com/tmc/langgraphgo,Go,2024-01-27T17:25:24Z,2024-09-30T07:11:27Z,43,6,1,MIT License
22,langgraph-example-pyproject,langchain-ai,,https://github.com/langchain-ai/langgraph-example-pyproject,Python,2024-08-02T17:43:26Z,2024-10-04T03:36:11Z,15,13,0,
23,data-enrichment,langchain-ai,LangGraph Studio template for creating an agent that does web research to genearte or enrich structured data.,https://github.com/langchain-ai/data-enrichment,Jupyter Notebook,2024-08-28T15:50:13Z,2024-10-02T18:27:57Z,46,15,0,MIT License
24,langgraph-agent,kyopark2014,It shows case studies of the LangGraph agent.,https://github.com/kyopark2014/langgraph-agent,Jupyter Notebook,2024-07-16T04:28:46Z,2024-10-06T14:12:02Z,18,8,0,
25,AI-Bootcamp,curiousily,"Self-paced bootcamp on Generative AI. Tutorials on ML fundamentals, LLMs, RAGs, LangChain, LangGraph, Fine-tuning Llama 3 & AI Agents (CrewAI)",https://github.com/curiousily/AI-Bootcamp,Jupyter Notebook,2024-04-14T17:19:37Z,2024-10-06T12:02:59Z,207,68,1,MIT License
26,conversational-agent-langchain,mfmezger,"FastAPI Backend for a Conversational Agent using Cohere, (Azure) OpenAI, Langchain & Langgraph and Qdrant as VectorDB",https://github.com/mfmezger/conversational-agent-langchain,Python,2023-03-21T13:25:52Z,2024-10-06T16:58:22Z,149,27,4,MIT License
27,LangGraph-GUI,LangGraph-GUI,"Visual node-edge graph GUI editor, with electron and docker wrapper for frontend,backend,localLLM",https://github.com/LangGraph-GUI/LangGraph-GUI,JavaScript,2024-07-17T11:51:42Z,2024-10-05T05:36:48Z,62,5,1,MIT License
28,langgraph-demo,q2wxec,langgraph-demo,https://github.com/q2wxec/langgraph-demo,Jupyter Notebook,2024-04-06T12:58:20Z,2024-08-28T15:44:32Z,22,4,1,
29,langgraph_fly_base,liuyanqun0815,"Based on the large model development framework of langchain, LangGraph is integrated to create a scalable workflow architecture. RAG。基于langchain的大模型开发框架，集成LangGraph创建一个可扩展的工作流架构，RAG：结合检索向量知识库（Milvus），增强模型的知识检索能力，支持ChatGLM & OpenAI大语言",https://github.com/liuyanqun0815/langgraph_fly_base,Python,2024-06-11T04:06:00Z,2024-09-19T10:15:31Z,23,6,3,
30,LangGraph-learn,LangGraph-GUI,learning resource of langgraph for dummy,https://github.com/LangGraph-GUI/LangGraph-learn,Python,2024-06-17T03:01:09Z,2024-10-05T23:22:58Z,43,4,0,MIT License
31,agentic-customer-service-medical-clinic,Nachoeigu,This software contains an agent based on LangGraph & LangChain for solving general requests in the Whatsapp channel of this medical clinic,https://github.com/Nachoeigu/agentic-customer-service-medical-clinic,Python,2024-08-02T08:50:52Z,2024-10-06T12:34:52Z,158,25,1,
32,react-agent,langchain-ai,LangGraph template for a simple ReAct agent,https://github.com/langchain-ai/react-agent,Python,2024-08-21T19:57:32Z,2024-10-05T17:22:41Z,12,6,0,MIT License
33,sales-outreach-automation-langgraph,kaymen99,"Automate lead analysis and outreach with AI-driven research, scoring, and personalized emails, videos, and call scripts, seamlessly integrated with HubSpot CRM for maximum impact.",https://github.com/kaymen99/sales-outreach-automation-langgraph,Python,2024-08-01T19:41:48Z,2024-10-04T14:44:04Z,14,6,0,
34,LangGraph.js-MongoDB-Example,mongodb-developer,,https://github.com/mongodb-developer/LangGraph.js-MongoDB-Example,TypeScript,2024-08-29T17:08:09Z,2024-09-28T17:41:33Z,17,7,1,Apache License 2.0
35,Langgraph_Manuscript_Workflows,artnoage,A collection of langgraph workflows orchestrated by a single LLM that process academic Manuscripts,https://github.com/artnoage/Langgraph_Manuscript_Workflows,Python,2024-06-14T20:51:38Z,2024-10-02T10:48:17Z,9,7,0,MIT License
36,Perplexity-Lite,AIAnytime,"Perplexity Lite using Langgraph, Tavily, and GPT-4.",https://github.com/AIAnytime/Perplexity-Lite,Jupyter Notebook,2024-01-11T10:45:43Z,2024-07-21T13:33:04Z,9,8,0,MIT License
37,react-agent-js,langchain-ai,,https://github.com/langchain-ai/react-agent-js,TypeScript,2024-08-26T05:45:27Z,2024-09-29T02:41:37Z,17,10,0,MIT License
38,LangGraph-Swift,bsorrentino,"🚀 LangGraph for Swift. A library for building stateful, multi-actor applications with LLMs, built to work jointly with langchain-swift",https://github.com/bsorrentino/LangGraph-Swift,Swift,2024-03-14T16:02:52Z,2024-10-01T10:31:05Z,23,4,2,MIT License
39,langgraph-email-automation,kaymen99,AI-powered customer support email automation system built with Langchain & Langgraph,https://github.com/kaymen99/langgraph-email-automation,Jupyter Notebook,2024-06-10T15:16:03Z,2024-09-24T14:07:04Z,13,4,0,
40,AI-Agents-in-LangGraph,ksm26,"Master the art of building and enhancing AI agents. Learn to develop flow-based applications, implement agentic search, and incorporate human-in-the-loop systems using LangGraph's powerful components.",https://github.com/ksm26/AI-Agents-in-LangGraph,Jupyter Notebook,2024-06-08T19:31:31Z,2024-10-02T20:54:08Z,9,6,0,
41,CopilotKit,CopilotKit,"React UI + elegant infrastructure for AI Copilots, in-app AI agents, AI chatbots, and AI-powered Textareas 🪁",https://github.com/CopilotKit/CopilotKit,TypeScript,2023-06-19T04:08:31Z,2024-10-06T15:33:41Z,11103,1783,139,MIT License
42,retrieval-agent-template,langchain-ai,,https://github.com/langchain-ai/retrieval-agent-template,Python,2024-08-21T20:47:35Z,2024-10-05T22:05:18Z,10,8,0,MIT License
43,langgraph-editor,Erickrus,This is a visual editor for langgraph workflow. It helps to quickly design and debug the workflow from scratch.,https://github.com/Erickrus/langgraph-editor,HTML,2024-05-05T12:21:59Z,2024-08-22T14:18:31Z,16,3,1,MIT License
44,langgraph-memory,langchain-ai,,https://github.com/langchain-ai/langgraph-memory,Python,2024-06-24T18:35:16Z,2024-10-04T03:39:29Z,12,3,1,MIT License
45,Langgraph_Langserve_QAbot,jis478,,https://github.com/jis478/Langgraph_Langserve_QAbot,Python,2024-07-18T07:06:30Z,2024-10-04T20:45:29Z,9,4,0,
46,Corrective-RAG,Grecil,Implementation of Corrective RAG using LangChain and LangGraph.,https://github.com/Grecil/Corrective-RAG,Python,2024-06-18T06:33:52Z,2024-09-09T00:03:32Z,14,6,0,
47,ai-data-analysis-MulitAgent,starpig1129,"AI-Driven Research Assistant: An advanced multi-agent system for automating complex research processes. Leveraging LangChain, OpenAI GPT, and LangGraph, this tool streamlines hypothesis generation, data analysis, visualization, and report writing. Perfect for researchers and data scientists seeking to enhance their workflow and productivity.",https://github.com/starpig1129/ai-data-analysis-MulitAgent,Python,2024-07-23T05:50:15Z,2024-10-05T19:18:14Z,597,81,0,MIT License
48,Perplexity-Lite,GURPREETKAURJETHRA,"Perplexity Lite using Langgraph, Tavily, and GPT-4.",https://github.com/GURPREETKAURJETHRA/Perplexity-Lite,Jupyter Notebook,2024-04-01T20:30:45Z,2024-10-03T22:00:35Z,13,3,0,MIT License
49,competitor-analysis-bot,langchain-ai,"Example LangGraph flow that does ""competitor analysis"" on the web.",https://github.com/langchain-ai/competitor-analysis-bot,Python,2024-05-29T11:14:36Z,2024-10-04T03:33:03Z,12,4,0,MIT License
50,Perplexity-Clone-v0.1,saurabhlalsaxena,This is a repository which uses LangChain LangGraph and DuckduckGo to create a Perplexity Clone,https://github.com/saurabhlalsaxena/Perplexity-Clone-v0.1,Jupyter Notebook,2024-08-13T19:32:50Z,2024-10-06T16:40:23Z,27,6,0,MIT License
51,langgraph-bedrock-knowledge-bases,aws-samples,Repository contains samples on how to use LangGraph with Amazon Bedrock and Bedrock knowledge bases for a RAG solution,https://github.com/aws-samples/langgraph-bedrock-knowledge-bases,Jupyter Notebook,2024-06-12T08:44:48Z,2024-07-02T21:22:48Z,7,3,0,MIT No Attribution
52,langgraph-example-monorepo,langchain-ai,,https://github.com/langchain-ai/langgraph-example-monorepo,Python,2024-08-08T00:12:52Z,2024-09-13T21:45:34Z,5,4,1,
53,agentic-rag,gotsulyakk,Agentic RAG implementation using LangGraph,https://github.com/gotsulyakk/agentic-rag,Python,2024-06-14T17:15:40Z,2024-10-03T15:32:33Z,9,2,0,Apache License 2.0
54,langgraph-learning,Teachings,,https://github.com/Teachings/langgraph-learning,Python,2024-08-04T03:17:17Z,2024-09-08T23:07:52Z,3,5,0,
55,genai-job-agents,touhi99,"A LLM Agent with Langchain/Langgraph helps to analyze CV, look relevant jobs via API, and write a cover letter according to it",https://github.com/touhi99/genai-job-agents,Python,2024-04-06T00:57:22Z,2024-09-23T07:40:59Z,26,9,1,MIT License
56,retrieval-agent-template-js,langchain-ai,,https://github.com/langchain-ai/retrieval-agent-template-js,TypeScript,2024-08-26T04:12:02Z,2024-09-24T11:54:11Z,5,4,0,MIT License
