,Repository_Name,Owner,Description,URL,Programming_Language,Creation_Date,Last_Updated_Date,Number_of_Stars,Number_of_Forks,Number_of_Open_Issues,License_Type
0,Awesome-LLMOps,tensorchord,An awesome & curated list of best LLMOps tools for developers,https://github.com/tensorchord/Awesome-LLMOps,Shell,2022-04-15T01:56:44Z,2024-10-06T08:33:27Z,3817,364,2,Creative Commons Zero v1.0 Universal
1,clearml,allegroai,"ClearML - Auto-Magical CI/CD to streamline your AI workload. Experiment Management, Data Management, Pipeline, Orchestration, Scheduling & Serving in one MLOps/LLMOps solution",https://github.com/allegroai/clearml,Python,2019-06-10T08:18:32Z,2024-10-06T16:23:20Z,5611,651,490,Apache License 2.0
2,starwhale,star-whale,an MLOps/LLMOps platform,https://github.com/star-whale/starwhale,Java,2021-12-30T14:26:20Z,2024-09-08T20:17:16Z,208,34,119,Apache License 2.0
3,langcorn,msoedov,⛓️ Serving LangChain LLM apps and agents automagically with FastApi. LLMops,https://github.com/msoedov/langcorn,Python,2023-04-14T15:28:45Z,2024-09-28T07:34:25Z,900,67,22,MIT License
4,ragas,explodinggradients,Evaluation framework for your Retrieval Augmented Generation (RAG) pipelines,https://github.com/explodinggradients/ragas,Python,2023-05-08T17:48:04Z,2024-10-06T16:28:08Z,6793,669,268,Apache License 2.0
5,pezzo,pezzolabs,"🕹️ Open-source, developer-first LLMOps platform designed to streamline prompt design, version management, instant delivery, collaboration, troubleshooting, observability and more.",https://github.com/pezzolabs/pezzo,TypeScript,2023-04-22T20:54:10Z,2024-10-05T03:47:16Z,2449,202,35,Apache License 2.0
6,llmops-workshop,microsoft,Learn how to build solutions with Large Language Models.,https://github.com/microsoft/llmops-workshop,Jupyter Notebook,2024-01-04T02:30:49Z,2024-10-04T14:46:18Z,118,43,5,Creative Commons Attribution 4.0 International
7,llmops-gha-demo,Azure,,https://github.com/Azure/llmops-gha-demo,Python,2023-08-23T17:06:45Z,2024-09-17T10:36:41Z,27,97,5,MIT License
8,clearml-server,allegroai,"ClearML - Auto-Magical CI/CD to streamline your AI workload. Experiment Management, Data Management, Pipeline, Orchestration, Scheduling & Serving in one MLOps/LLMOps solution",https://github.com/allegroai/clearml-server,Python,2019-06-10T09:11:19Z,2024-09-26T00:24:40Z,381,132,103,Other
9,arcadia,kubeagi,"A diverse, simple, and secure all-in-one LLMOps platform",https://github.com/kubeagi/arcadia,Go,2023-07-19T06:56:47Z,2024-09-28T19:44:14Z,80,23,63,Apache License 2.0
10,llm-action,liguodongiot,本项目旨在分享大模型相关技术原理以及实战经验。,https://github.com/liguodongiot/llm-action,HTML,2023-05-23T05:29:16Z,2024-10-06T14:28:02Z,9427,922,9,Apache License 2.0
11,llmops-duke-aipi,alfredodeza,Official curricula for the LLMOPs course at Duke University ,https://github.com/alfredodeza/llmops-duke-aipi,,2024-05-14T23:01:01Z,2024-09-22T19:11:04Z,84,14,0,
12,litellm,BerriAI,"Python SDK, Proxy Server (LLM Gateway) to call 100+ LLM APIs in OpenAI format - [Bedrock, Azure, OpenAI, VertexAI, Cohere, Anthropic, Sagemaker, HuggingFace, Replicate, Groq]",https://github.com/BerriAI/litellm,Python,2023-07-27T00:09:52Z,2024-10-06T16:19:48Z,12697,1476,610,Other
13,Interactive-Dev-Environment-for-LLM-Development,AI-Maker-Space,Set up your local dev environment just like pro LLMOps practitioners.,https://github.com/AI-Maker-Space/Interactive-Dev-Environment-for-LLM-Development,,2023-08-17T21:22:13Z,2024-08-29T15:34:59Z,47,20,1,MIT License
14,ai-system,liguodongiot,LLM/MLOps/LLMOps,https://github.com/liguodongiot/ai-system,HTML,2023-02-23T02:56:50Z,2024-09-20T03:55:33Z,45,7,0,Apache License 2.0
15,awskrusergroup,synabreu,AWS SageMaker를 이용한 MLOps와 LLMOps,https://github.com/synabreu/awskrusergroup,Jupyter Notebook,2023-07-27T04:37:14Z,2024-08-21T15:11:52Z,32,8,0,
16,phidata,phidatahq,"Build AI Assistants with memory, knowledge and tools.",https://github.com/phidatahq/phidata,Python,2022-05-04T15:23:02Z,2024-10-06T13:39:05Z,11249,1670,82,Mozilla Public License 2.0
17,EasyLLMOps,bmd1905,"To simplify and streamline LLM operations, empowering developers and organizations to harness the full potential of large language models with ease.",https://github.com/bmd1905/EasyLLMOps,Svelte,2024-08-10T13:58:21Z,2024-10-03T10:24:39Z,54,14,0,MIT License
18,starcloud-llmops,Starcloud-Cloud,starcloud-llmops java back-end program,https://github.com/Starcloud-Cloud/starcloud-llmops,Java,2023-05-29T07:48:44Z,2024-09-29T09:53:54Z,22,9,2,Other
19,llamaduo,deep-diver,This project showcases an LLMOps pipeline that fine-tunes a small-size LLM model to prepare for the outage of the service LLM. ,https://github.com/deep-diver/llamaduo,Jupyter Notebook,2024-03-04T06:49:53Z,2024-10-03T00:50:44Z,287,29,0,Apache License 2.0
20,awesome-llmops,KennethanCeyer,Awesome series for LLMOps,https://github.com/KennethanCeyer/awesome-llmops,,2023-04-01T07:33:42Z,2024-09-08T21:14:39Z,34,6,3,Creative Commons Zero v1.0 Universal
21,llm-resource,liguodongiot,LLM全栈优质资源汇总,https://github.com/liguodongiot/llm-resource,Shell,2023-08-27T11:45:51Z,2024-10-06T03:44:44Z,322,29,0,Apache License 2.0
22,llmops-examples,djliden,"Example code and notebooks related to mlflow, llmops, etc.",https://github.com/djliden/llmops-examples,Jupyter Notebook,2023-07-14T18:30:37Z,2024-09-13T12:21:42Z,41,10,0,MIT License
23,OpenPipe,OpenPipe,Turn expensive prompts into cheap fine-tuned models,https://github.com/OpenPipe/OpenPipe,TypeScript,2023-06-20T00:55:24Z,2024-10-05T10:57:02Z,2480,131,6,Apache License 2.0
24,trulens,truera,Evaluation and Tracking for LLM Experiments,https://github.com/truera/trulens,Python,2020-11-02T21:56:45Z,2024-10-06T16:17:38Z,2079,181,46,MIT License
25,llmops-chatgpt-huggingface,manifoldailearning,,https://github.com/manifoldailearning/llmops-chatgpt-huggingface,Jupyter Notebook,2024-03-19T17:08:13Z,2024-09-24T12:32:17Z,8,25,0,
26,Awesome-LLMOps,InftyAI,🎉 An awesome & curated list of best LLMOps tools.,https://github.com/InftyAI/Awesome-LLMOps,,2023-08-14T09:32:03Z,2024-10-01T15:22:34Z,26,8,0,
27,LLMOps_wsPycon2024,darkanita,,https://github.com/darkanita/LLMOps_wsPycon2024,Python,2024-06-07T19:02:02Z,2024-06-14T12:25:28Z,6,26,0,
28,use-case-airflow-llm-rag-finance,astronomer,Repository for the LLMOps RAG with Airflow + Weaviate Learn use case.,https://github.com/astronomer/use-case-airflow-llm-rag-finance,Python,2023-10-24T09:55:45Z,2024-09-17T08:00:39Z,25,10,0,
29,bionic-gpt,bionic-gpt,"BionicGPT is an on-premise replacement for ChatGPT, offering the advantages of Generative AI while maintaining strict data confidentiality",https://github.com/bionic-gpt/bionic-gpt,Rust,2023-07-07T07:45:24Z,2024-10-05T17:24:23Z,1901,175,21,Other
30,lanarky,ajndkr,The web framework for building LLM microservices,https://github.com/ajndkr/lanarky,Python,2023-04-07T05:36:32Z,2024-09-28T07:37:06Z,973,74,9,MIT License
31,llmops-handbook,distantmagic,"Practical and advanced guide to LLMOps. It provides a solid understanding of large language models’ general concepts, deployment techniques, and software engineering practices.  (work in progress)",https://github.com/distantmagic/llmops-handbook,CSS,2024-06-28T12:25:02Z,2024-09-30T23:59:58Z,49,5,4,Creative Commons Attribution Share Alike 4.0 International
32,ChainForge,ianarawjo,An open-source visual programming environment for battle-testing prompts to LLMs.,https://github.com/ianarawjo/ChainForge,TypeScript,2023-03-26T16:55:33Z,2024-10-04T15:13:59Z,2233,174,57,MIT License
33,llmops,Azure,,https://github.com/Azure/llmops,Shell,2024-06-05T19:46:18Z,2024-09-18T03:58:20Z,11,10,0,MIT License
34,LLMOps,Blaizzy,Deploy and scale Large Language Models (LLMs) in production.,https://github.com/Blaizzy/LLMOps,Jupyter Notebook,2023-11-19T19:25:31Z,2024-08-29T03:44:55Z,35,3,0,MIT License
35,clearml-helm-charts,allegroai,"Helm chart repository for the new unified way to deploy ClearML on Kubernetes. ClearML - Auto-Magical CI/CD to streamline your AI workload. Experiment Management, Data Management, Pipeline, Orchestration, Scheduling & Serving in one MLOps/LLMOps solution ",https://github.com/allegroai/clearml-helm-charts,Smarty,2021-07-07T05:54:21Z,2024-09-27T15:10:21Z,36,50,6,
36,TechExcel-Operationalize-LLMs-with-LLMOps-automation,microsoft,,https://github.com/microsoft/TechExcel-Operationalize-LLMs-with-LLMOps-automation,Ruby,2024-05-10T20:47:25Z,2024-10-03T21:17:28Z,10,16,5,MIT License
37,ai-infra-landscape,tensorchord,This is a landscape of the infrastructure that powers the generative AI ecosystem,https://github.com/tensorchord/ai-infra-landscape,HTML,2024-01-26T09:52:41Z,2024-09-29T05:48:40Z,124,55,7,
