,Repository_Name,Owner,Description,URL,Programming_Language,Creation_Date,Last_Updated_Date,Number_of_Stars,Number_of_Forks,Number_of_Open_Issues,License_Type
0,MachineLearningTutorial,SpikeKing,机器学习笔记,https://github.com/SpikeKing/MachineLearningTutorial,Python,2018-04-04T08:23:44Z,2023-08-28T03:11:52Z,42,34,1,
1,machine_learning_and_neuroscience,llSourcell,"This is the code for ""Machine Learning & Neuroscience"" By Siraj Raval on Youtube",https://github.com/llSourcell/machine_learning_and_neuroscience,JavaScript,2018-02-08T03:53:56Z,2024-07-06T02:51:09Z,129,51,0,GNU General Public License v2.0
2,Disease-Prediction-using-Django-and-machine-learning,anuj-glitch,**A end to end project - Powered by Django and Machine Learning**  - This project aims to provide a web platform to predict the occurrences of disease on the basis of various symptoms. The user can select various symptoms and can find the diseases and consult to the doctor online.,https://github.com/anuj-glitch/Disease-Prediction-using-Django-and-machine-learning,CSS,2020-01-09T12:23:50Z,2024-10-04T11:45:32Z,259,77,16,Apache License 2.0
3,MLBox,AxeldeRomblay,MLBox is a powerful Automated Machine Learning python library. ,https://github.com/AxeldeRomblay/MLBox,Python,2017-06-01T16:59:24Z,2024-10-03T04:06:37Z,1493,274,29,Other
4,machine-learning-implemetation-python,bamtak,Basic Machine Learning implementation with python,https://github.com/bamtak/machine-learning-implemetation-python,Jupyter Notebook,2019-11-28T18:07:14Z,2024-09-14T17:51:23Z,100,56,0,
5,machine-learning,ImagingInformatics,Repository for activities of the machine learning committee,https://github.com/ImagingInformatics/machine-learning,Jupyter Notebook,2017-04-18T15:56:31Z,2024-09-18T16:01:18Z,65,40,1,
6,machine_learning_code,Wasim37,机器学习与深度学习算法示例,https://github.com/Wasim37/machine_learning_code,Jupyter Notebook,2017-11-27T14:43:27Z,2024-07-10T09:08:12Z,98,43,0,
7,PythonForMachineLearning,anikannal,This is a repository for the Python For Machine Learning Course on xcelerator,https://github.com/anikannal/PythonForMachineLearning,Jupyter Notebook,2020-04-07T04:09:27Z,2022-05-07T10:31:06Z,12,136,0,Apache License 2.0
8,DL-ML-project,roguesir,Deep Learning and Machine Learning project,https://github.com/roguesir/DL-ML-project,Python,2017-07-15T04:33:56Z,2024-09-16T08:28:00Z,118,95,2,
9,Machine-Learning,anubhavshrimal,"The projects I do in Machine Learning with PyTorch, keras, Tensorflow, scikit learn and Python.",https://github.com/anubhavshrimal/Machine-Learning,Jupyter Notebook,2017-05-13T16:41:49Z,2024-10-05T20:06:13Z,119,31,0,MIT License
10,machine-learning-example,ruohaiweb,,https://github.com/ruohaiweb/machine-learning-example,Jupyter Notebook,2021-05-22T15:26:41Z,2024-09-25T12:31:09Z,68,50,0,Apache License 2.0
11,machine-learning-exercises,zzlyw,The exercises about machine learning course.,https://github.com/zzlyw/machine-learning-exercises,Matlab,2017-10-26T03:45:56Z,2024-05-20T04:52:58Z,118,39,0,
12,caret-machine-learning,tobigithub,Practical examples for the R caret machine learning package,https://github.com/tobigithub/caret-machine-learning,R,2015-11-03T18:47:53Z,2024-08-24T23:42:18Z,67,50,36,MIT License
13,machine-learning-projects,anooshac,,https://github.com/anooshac/machine-learning-projects,Python,2016-06-21T21:26:30Z,2023-10-09T10:14:28Z,61,52,3,
14,suiron,kendricktan,Machine Learning for RC Cars,https://github.com/kendricktan/suiron,Python,2016-09-13T14:44:18Z,2024-09-07T08:47:56Z,705,78,3,MIT License
15,moviebox,klaudiosinani,Machine learning movie recommending system,https://github.com/klaudiosinani/moviebox,Python,2018-01-23T20:37:19Z,2024-09-23T14:20:54Z,524,55,4,MIT License
16,NakedTensor,jostmey,Bare bone examples of machine learning in TensorFlow,https://github.com/jostmey/NakedTensor,Python,2016-09-08T16:49:07Z,2024-05-20T04:14:34Z,2424,146,1,Apache License 2.0
17,machine_learning_examples,nithyadurai87,machine_learning_examples,https://github.com/nithyadurai87/machine_learning_examples,HTML,2018-11-10T06:04:16Z,2024-09-01T11:13:01Z,69,49,1,
18,machine_learning_economics,sekhansen,Machine Learning for Economics,https://github.com/sekhansen/machine_learning_economics,Jupyter Notebook,2018-10-10T15:30:06Z,2024-08-24T13:23:50Z,83,46,0,
19,Machine-Learning-Tutorial-Chinese,nl8590687,专门面向中文用户的机器学习相关的学习资料大集合,https://github.com/nl8590687/Machine-Learning-Tutorial-Chinese,,2018-10-20T05:38:19Z,2024-09-22T13:22:20Z,147,46,0,Other
20,eo-learn,sentinel-hub,Earth observation processing framework for machine learning in Python,https://github.com/sentinel-hub/eo-learn,Python,2018-05-31T09:08:08Z,2024-10-01T16:36:22Z,1118,300,3,MIT License
21,logparser,logpai,"A machine learning toolkit for log parsing [ICSE'19, DSN'16]",https://github.com/logpai/logparser,Python,2015-08-05T11:32:39Z,2024-10-05T00:44:15Z,1574,552,0,Other
22,lab-revisiting-machine-learning,ironhack-labs,,https://github.com/ironhack-labs/lab-revisiting-machine-learning,,2020-11-15T01:46:34Z,2023-11-18T03:10:53Z,0,514,20,
23,Titanic-Machine-Learning-from-Disaster,ashishpatel26,"Start here if... You're new to data science and machine learning, or looking for a simple intro to the Kaggle prediction competitions.  Competition Description The sinking of the RMS Titanic is one of the most infamous shipwrecks in history.  On April 15, 1912, during her maiden voyage, the Titanic sank after colliding with an iceberg, killing 1502 out of 2224 passengers and crew. This sensational tragedy shocked the international community and led to better safety regulations for ships.  One of the reasons that the shipwreck led to such loss of life was that there were not enough lifeboats for the passengers and crew. Although there was some element of luck involved in surviving the sinking, some groups of people were more likely to survive than others, such as women, children, and the upper-class.  In this challenge, we ask you to complete the analysis of what sorts of people were likely to survive. In particular, we ask you to apply the tools of machine learning to predict which passengers survived the tragedy.  Practice Skills Binary classification Python and R basics",https://github.com/ashishpatel26/Titanic-Machine-Learning-from-Disaster,Jupyter Notebook,2018-03-23T12:35:52Z,2024-09-30T14:34:59Z,75,78,1,
24,neoml,neoml-lib,Machine learning framework for both deep learning and traditional algorithms,https://github.com/neoml-lib/neoml,C++,2020-06-14T17:37:36Z,2024-10-02T21:00:13Z,766,126,32,Apache License 2.0
25,machine-learning-Andrew-Ng,qinhanmin2014,Machine learning online course from Andrew Ng.,https://github.com/qinhanmin2014/machine-learning-Andrew-Ng,HTML,2018-10-15T13:16:15Z,2024-09-09T14:37:17Z,74,59,0,
26,MachineLearning,luanshiyinyang,机器学习,https://github.com/luanshiyinyang/MachineLearning,Python,2018-11-27T10:53:15Z,2024-09-21T17:09:56Z,39,28,0,
27,awesome-machine-learning-jupyter-notebooks-for-colab,toxtli,A curated list of Machine Learning and Deep Learning tutorials in Jupyter Notebook format ready to run in Google Colaboratory,https://github.com/toxtli/awesome-machine-learning-jupyter-notebooks-for-colab,Jupyter Notebook,2019-10-14T01:50:30Z,2024-09-12T13:23:04Z,284,71,0,
28,Repo-2017,RubensZimbres,"My first Python repo with codes in Machine Learning, NLP and Deep Learning with Keras and Theano",https://github.com/RubensZimbres/Repo-2017,Python,2016-12-17T13:21:20Z,2024-08-23T04:14:47Z,1191,678,1,
29,MachineLearningTopic,jiajia0,机器学习笔记,https://github.com/jiajia0/MachineLearningTopic,Python,2017-12-19T14:26:49Z,2024-04-17T10:14:12Z,30,37,0,
30,quantum-machine-learning,sonamghosh,This repo is to contain material from the University of Toronto Quantum Machine Learning Course by Prof. Peter Wittek on edX ,https://github.com/sonamghosh/quantum-machine-learning,Jupyter Notebook,2019-02-05T08:08:02Z,2024-01-17T09:14:59Z,79,47,1,
31,machine-learning-market-maker,mmargenot,Implementation of a Bayesian-style market maker in the vein of 'Intelligent Market-Making in Artificial Financial Markets' by Sanmay Das,https://github.com/mmargenot/machine-learning-market-maker,Python,2015-10-15T04:34:04Z,2024-09-19T21:10:47Z,103,52,1,
32,Machine-Learning-in-Python-Workshop,snrazavi,My workshop on machine learning using python language to implement different algorithms,https://github.com/snrazavi/Machine-Learning-in-Python-Workshop,Jupyter Notebook,2017-12-13T17:24:24Z,2024-07-24T22:07:21Z,117,64,0,
33,Malicious-Web-Content-Detection-Using-Machine-Learning,philomathic-guy,Chrome extension for detecting phishing web sites,https://github.com/philomathic-guy/Malicious-Web-Content-Detection-Using-Machine-Learning,Python,2017-01-13T10:29:33Z,2024-10-04T16:21:20Z,234,76,7,MIT License
34,mli-resources,h2oai,H2O.ai Machine Learning Interpretability Resources,https://github.com/h2oai/mli-resources,Jupyter Notebook,2017-10-19T20:56:24Z,2024-08-22T12:05:01Z,481,131,4,
35,machinelearning-datascience,chesterheng,Complete Machine Learning and Data Science: Zero to Mastery,https://github.com/chesterheng/machinelearning-datascience,Jupyter Notebook,2020-05-10T09:38:22Z,2024-09-27T07:32:41Z,170,86,0,
36,ML,RubixML,A high-level machine learning and deep learning library for the PHP language.,https://github.com/RubixML/ML,PHP,2018-02-14T07:20:19Z,2024-10-04T11:40:51Z,2025,182,63,MIT License
37,awesome-ml-courses,luspr,Awesome free machine learning and AI courses with video lectures.,https://github.com/luspr/awesome-ml-courses,,2020-05-08T20:41:59Z,2024-10-05T08:31:49Z,2692,281,3,
38,Introduction-to-Artificial-Intelligence-Machine-Learning,aailabkaist,Apache 2.0 License,https://github.com/aailabkaist/Introduction-to-Artificial-Intelligence-Machine-Learning,Jupyter Notebook,2016-08-03T17:48:27Z,2024-10-03T23:07:48Z,146,72,0,
39,Machine-Learning-Masters,fsiddh,"This repository consists content, assignments, assignments solution and study material provided by ineoron ML masters course",https://github.com/fsiddh/Machine-Learning-Masters,Jupyter Notebook,2020-03-02T11:19:12Z,2024-10-03T19:07:33Z,134,36,61,
40,Grokking-Machine-Learning,edualgo,This repo aims to contain different machine learning use cases along with the descriptions to the model architectures,https://github.com/edualgo/Grokking-Machine-Learning,Jupyter Notebook,2020-11-12T02:19:34Z,2024-10-04T20:13:06Z,64,49,2,MIT License
41,Machine-Learning-Notes,julianyulu,Lecture Notes of Andrew Ng's Machine Learning Course ,https://github.com/julianyulu/Machine-Learning-Notes,,2017-12-20T15:57:44Z,2024-09-29T12:13:15Z,90,42,0,
42,Harvard-Robust-Machine-Learning,kojino,Repository for CS282R: Robust Machine Learning at Harvard University.,https://github.com/kojino/Harvard-Robust-Machine-Learning,Jupyter Notebook,2018-02-01T17:27:26Z,2024-09-13T01:15:18Z,68,60,1,
43,Python-Machine-Learning-By-Example-Third-Edition,PacktPublishing,"Python Machine Learning By Example Third Edition, published by Packt",https://github.com/PacktPublishing/Python-Machine-Learning-By-Example-Third-Edition,Python,2020-02-21T08:52:21Z,2024-10-05T15:57:22Z,138,93,3,MIT License
44,graphpipe,oracle,Machine Learning Model Deployment Made Simple,https://github.com/oracle/graphpipe,Makefile,2018-06-27T18:31:23Z,2024-07-25T15:11:56Z,720,103,13,Other
45,bitpredict,cbyn,Machine learning for high frequency bitcoin price prediction,https://github.com/cbyn/bitpredict,Python,2015-08-18T22:51:10Z,2024-09-28T09:48:57Z,757,220,0,MIT License
46,tensorwatch,microsoft,"Debugging, monitoring and visualization for Python Machine Learning and Data Science",https://github.com/microsoft/tensorwatch,Jupyter Notebook,2019-05-15T08:29:34Z,2024-10-04T14:29:48Z,3413,362,53,MIT License
47,TensorFlow-Machine-Learning-Projects,PacktPublishing,,https://github.com/PacktPublishing/TensorFlow-Machine-Learning-Projects,Jupyter Notebook,2018-07-02T04:14:29Z,2024-08-23T21:08:44Z,107,65,111,MIT License
48,ML_prep,AstronomerAmber,Machine Learning interview prep guide,https://github.com/AstronomerAmber/ML_prep,Jupyter Notebook,2018-10-29T06:36:20Z,2024-09-02T21:48:10Z,406,90,1,
49,udemy-the-complete-machine-learning-course-with-python,anthonyng2,Please see the readme file for more info,https://github.com/anthonyng2/udemy-the-complete-machine-learning-course-with-python,Jupyter Notebook,2017-11-14T00:51:41Z,2024-05-23T05:34:28Z,105,133,0,
50,machine-learning,michaelzph,machine learning in action,https://github.com/michaelzph/machine-learning,Jupyter Notebook,2017-01-06T05:49:09Z,2023-06-10T10:29:23Z,19,63,1,
51,Machine-Learning,VincentGranville,Material related to my book Intuitive Machine Learning. Some of this material is also featured in my new book Synthetic Data and Generative AI.,https://github.com/VincentGranville/Machine-Learning,Python,2022-01-08T20:34:01Z,2024-09-29T00:54:48Z,98,31,4,
52,qml,qmlcode,QML: Quantum Machine Learning,https://github.com/qmlcode/qml,Python,2017-04-22T04:48:38Z,2024-09-28T07:17:00Z,199,84,37,MIT License
53,Machine-Learning-In-Action,xyxxmb,,https://github.com/xyxxmb/Machine-Learning-In-Action,HTML,2018-02-28T08:40:00Z,2024-04-01T04:17:29Z,88,52,0,
54,myLearn,myazi,machine learning algorithm,https://github.com/myazi/myLearn,C++,2017-05-07T08:37:31Z,2024-07-28T06:43:42Z,162,62,1,
55,C-machine-learning,JianxGao,C语言手撕机器学习/深度学习算法,https://github.com/JianxGao/C-machine-learning,C,2020-10-05T13:14:45Z,2024-09-04T01:21:16Z,113,37,4,
56,bootcamp_python,42-AI,Bootcamp to learn Python for Machine Learning,https://github.com/42-AI/bootcamp_python,TeX,2019-08-07T15:17:59Z,2024-10-03T13:51:46Z,408,128,7,Other
57,skforecast,JoaquinAmatRodrigo,Time series forecasting with machine learning models,https://github.com/JoaquinAmatRodrigo/skforecast,Python,2021-02-10T11:40:34Z,2024-10-04T13:00:29Z,1095,125,20,"BSD 3-Clause ""New"" or ""Revised"" License"
58,privacy,tensorflow,Library for training machine learning models with privacy for training data,https://github.com/tensorflow/privacy,Python,2018-12-21T18:46:46Z,2024-09-30T02:35:31Z,1927,448,122,Apache License 2.0
59,Machine-Learning-A-Z,MonicaGS,Machine learning A-Z course from Udemy,https://github.com/MonicaGS/Machine-Learning-A-Z,Python,2018-07-24T02:58:54Z,2024-08-15T19:57:52Z,40,75,1,
60,kaggle-titanic,agconti,"A tutorial for Kaggle's Titanic: Machine Learning from Disaster competition. Demonstrates basic data munging, analysis, and visualization techniques. Shows examples of supervised machine learning techniques. ",https://github.com/agconti/kaggle-titanic,Jupyter Notebook,2013-05-01T01:30:58Z,2024-10-01T11:04:36Z,870,674,1,Apache License 2.0
61,federated-learning-lib,IBM,A library for federated learning (a distributed machine learning process) in an enterprise environment.,https://github.com/IBM/federated-learning-lib,Python,2020-06-19T17:19:21Z,2024-09-30T12:49:57Z,495,134,24,Other
62,machineJS,ClimbsRocks,[UNMAINTAINED] Automated machine learning- just give it a data file! Check out the production-ready version of this project at ClimbsRocks/auto_ml,https://github.com/ClimbsRocks/machineJS,Python,2015-07-30T04:10:08Z,2024-07-25T15:09:59Z,408,64,56,
63,datumbox-framework,datumbox,Datumbox is an open-source Machine Learning framework written in Java which allows the rapid development of Machine Learning and Statistical applications.,https://github.com/datumbox/datumbox-framework,Java,2014-10-18T18:10:08Z,2024-09-15T17:21:07Z,1085,282,2,Apache License 2.0
