,Repository_Name,Owner,Description,URL,Programming_Language,Creation_Date,Last_Updated_Date,Number_of_Stars,Number_of_Forks,Number_of_Open_Issues,License_Type
0,mlops-zoomcamp,DataTalksClub,Free MLOps course from DataTalks.Club,https://github.com/DataTalksClub/mlops-zoomcamp,Jupyter Notebook,2021-10-21T09:35:28Z,2024-10-06T15:19:41Z,11037,2123,5,
1,awesome-mlops,visenger,A curated list of references for MLOps ,https://github.com/visenger/awesome-mlops,,2020-03-03T11:37:19Z,2024-10-06T16:18:42Z,12527,1881,8,
2,MLOps,microsoft,MLOps examples,https://github.com/microsoft/MLOps,Jupyter Notebook,2019-05-03T20:55:03Z,2024-10-05T04:34:14Z,1811,540,17,MIT License
3,MLOpsPython,microsoft,MLOps using Azure ML Services and Azure DevOps,https://github.com/microsoft/MLOpsPython,Python,2019-01-29T19:48:00Z,2024-10-05T04:34:13Z,1196,1093,81,MIT License
4,awesome-mlops,kelvins,:sunglasses: A curated list of awesome MLOps tools,https://github.com/kelvins/awesome-mlops,Python,2020-05-25T22:53:26Z,2024-10-06T09:45:48Z,3995,561,4,
5,MLOps_Workshop,MG-Microsoft,Azure MLOps,https://github.com/MG-Microsoft/MLOps_Workshop,Python,2021-05-20T10:43:37Z,2024-10-05T04:33:15Z,109,326,1,MIT License
6,polyaxon,polyaxon,MLOps Tools For Managing & Orchestrating The Machine Learning LifeCycle,https://github.com/polyaxon/polyaxon,,2016-12-26T12:48:47Z,2024-10-05T13:02:00Z,3555,313,122,Apache License 2.0
7,mlops-template,nogibjj,mlops template,https://github.com/nogibjj/mlops-template,Python,2022-10-05T20:09:04Z,2024-09-30T01:19:59Z,214,151,16,MIT License
8,practical-mlops-book,paiml,[Book-2021] Practical MLOps O'Reilly Book,https://github.com/paiml/practical-mlops-book,Jupyter Notebook,2020-11-08T13:30:47Z,2024-10-02T19:37:31Z,706,284,2,
9,MLOps-Basics,graviraja,,https://github.com/graviraja/MLOps-Basics,Jupyter Notebook,2021-05-02T10:35:35Z,2024-10-06T16:17:03Z,5893,983,13,MIT License
10,seldon-core,SeldonIO,"An MLOps framework to package, deploy, monitor and manage thousands of production machine learning models",https://github.com/SeldonIO/seldon-core,HTML,2017-12-20T14:51:54Z,2024-10-05T07:42:57Z,4353,831,216,Other
11,mlops-on-gcp,GoogleCloudPlatform,,https://github.com/GoogleCloudPlatform/mlops-on-gcp,Jupyter Notebook,2020-02-16T18:31:41Z,2024-10-05T06:07:46Z,771,2718,62,Apache License 2.0
12,sig-mlops,cdfoundation,CDF SIG MLOps,https://github.com/cdfoundation/sig-mlops,,2019-10-15T23:36:35Z,2024-10-02T22:24:42Z,599,68,0,Apache License 2.0
13,mlops-roadmap,ayush714,Roadmap for MLOps ,https://github.com/ayush714/mlops-roadmap,,2023-07-18T23:32:31Z,2024-10-05T07:06:09Z,257,83,2,
14,mlops-course,GokuMohandas,"Learn how to design, develop, deploy and iterate on production-grade ML applications.",https://github.com/GokuMohandas/mlops-course,Jupyter Notebook,2020-11-12T03:05:00Z,2024-10-05T15:19:13Z,2917,507,1,MIT License
15,EngineeringMLOps,PacktPublishing,"Engineering MLOps, published by Packt",https://github.com/PacktPublishing/EngineeringMLOps,Jupyter Notebook,2020-08-14T11:56:15Z,2024-10-02T04:41:50Z,173,130,3,MIT License
16,MLOps,raminmohammadi,Machine Learning In Production (MLOps),https://github.com/raminmohammadi/MLOps,Jupyter Notebook,2023-09-11T13:40:44Z,2024-09-29T20:06:26Z,67,189,6,Creative Commons Zero v1.0 Universal
17,hydro-serving,Hydrospheredata,MLOps Platform,https://github.com/Hydrospheredata/hydro-serving,Mustache,2017-05-22T10:27:30Z,2024-07-19T20:53:34Z,271,42,3,Apache License 2.0
18,kubernetes-mlops,AlexIoannides,"MLOps tutorial using Python, Docker and Kubernetes.",https://github.com/AlexIoannides/kubernetes-mlops,Python,2019-01-28T16:40:35Z,2024-09-30T09:31:37Z,361,101,7,MIT License
19,MLOpsTemplate,microsoft,Providing tools and templates to facilitate modern MLOps practices,https://github.com/microsoft/MLOpsTemplate,Jupyter Notebook,2022-02-03T20:38:51Z,2024-10-05T04:34:33Z,80,266,10,MIT License
20,mlops-projects-course,ayush714,mlops-projects-course,https://github.com/ayush714/mlops-projects-course,,2023-10-07T18:40:46Z,2024-09-30T17:51:55Z,96,62,1,
21,dtu_mlops,SkafteNicki,Exercises and supplementary material for the machine learning operations course at DTU.,https://github.com/SkafteNicki/dtu_mlops,Jupyter Notebook,2021-04-07T09:27:30Z,2024-09-30T16:30:04Z,575,440,5,Apache License 2.0
