,Repository_Name,Owner,Description,URL,Programming_Language,Creation_Date,Last_Updated_Date,Number_of_Stars,Number_of_Forks,Number_of_Open_Issues,License_Type
0,natural-language-processing,hse-aml,"Resources for ""Natural Language Processing"" Coursera course.",https://github.com/hse-aml/natural-language-processing,Jupyter Notebook,2017-11-26T20:08:16Z,2024-09-20T07:25:09Z,1177,1959,26,
1,Natural-Language-Processing-Specialization,amanjeetsahu,"This repo contains my coursework, assignments, and Slides for Natural Language Processing Specialization by deeplearning.ai on Coursera",https://github.com/amanjeetsahu/Natural-Language-Processing-Specialization,Jupyter Notebook,2020-07-06T16:47:43Z,2024-10-05T07:20:05Z,777,672,7,
2,nlp_course,yandexdataschool,YSDA course in Natural Language Processing,https://github.com/yandexdataschool/nlp_course,Jupyter Notebook,2018-09-08T09:28:05Z,2024-10-06T09:50:45Z,9742,2576,7,MIT License
3,compromise,spencermountain,modest natural-language processing,https://github.com/spencermountain/compromise,JavaScript,2011-07-05T09:04:38Z,2024-10-05T20:30:22Z,11431,656,110,MIT License
4,nlp-tutorial,graykode,Natural Language Processing Tutorial for Deep Learning Researchers,https://github.com/graykode/nlp-tutorial,Jupyter Notebook,2019-01-09T11:44:20Z,2024-10-06T12:43:58Z,14111,3917,37,MIT License
5,spaCy,explosion,💫 Industrial-strength Natural Language Processing (NLP) in Python,https://github.com/explosion/spaCy,Python,2014-07-03T15:15:40Z,2024-10-06T06:07:40Z,29784,4366,145,MIT License
6,Natural-Language-Processing,JustFollowUs,,https://github.com/JustFollowUs/Natural-Language-Processing,,2016-12-16T06:40:27Z,2024-06-27T05:30:19Z,836,278,0,
7,natural-language-processing,khanhnamle1994,Programming Assignments and Lectures for Stanford's CS 224: Natural Language Processing with Deep Learning,https://github.com/khanhnamle1994/natural-language-processing,Python,2018-01-02T08:09:13Z,2024-09-21T10:12:39Z,476,275,0,
8,nlp_tasks,Kyubyong,Natural Language Processing Tasks and References,https://github.com/Kyubyong/nlp_tasks,,2017-10-06T07:40:53Z,2024-08-29T08:43:42Z,3017,546,0,Apache License 2.0
9,Learn-Natural-Language-Processing-Curriculum,llSourcell,"This is the curriculum for ""Learn Natural Language Processing"" by Siraj Raval on Youtube",https://github.com/llSourcell/Learn-Natural-Language-Processing-Curriculum,,2019-07-01T03:55:11Z,2024-08-06T05:24:27Z,1059,299,4,
