,Repository_Name,Owner,Description,URL,Programming_Language,Creation_Date,Last_Updated_Date,Number_of_Stars,Number_of_Forks,Number_of_Open_Issues,License_Type
0,nosqlclient,nosqlclient,"Cross-platform and self hosted, easy to use, intuitive mongodb management tool - Formerly Mongoclient",https://github.com/nosqlclient/nosqlclient,JavaScript,2016-02-07T14:34:53Z,2024-10-06T15:15:15Z,3480,366,19,GNU Affero General Public License v3.0
1,NoSQLMap,codingo,Automated NoSQL database enumeration and web application exploitation tool.,https://github.com/codingo/NoSQLMap,Python,2013-09-24T15:01:30Z,2024-10-04T17:23:11Z,2879,577,0,GNU General Public License v3.0
2,canal_mysql_nosql_sync,liukelin,基于canal 的 mysql 与 redis/memcached/mongodb 的 nosql 数据实时同步方案 案例 demo canal client,https://github.com/liukelin/canal_mysql_nosql_sync,Java,2016-01-04T13:47:17Z,2024-09-07T06:02:41Z,1429,470,18,
3,dio-db-nosql,pamelaborges,,https://github.com/pamelaborges/dio-db-nosql,JavaScript,2023-07-10T23:41:40Z,2024-09-30T22:15:06Z,323,414,1,
4,ssdb,ideawu,"SSDB - A fast NoSQL database, an alternative to Redis",https://github.com/ideawu/ssdb,C++,2013-01-11T15:19:07Z,2024-09-30T12:57:20Z,8185,1402,398,"BSD 3-Clause ""New"" or ""Revised"" License"
5,nosql,petersirka,NoSQL embedded database for small node.js projects,https://github.com/petersirka/nosql,JavaScript,2013-04-07T09:40:37Z,2024-09-25T15:04:00Z,296,48,4,Other
6,mongo,mongodb,The MongoDB Database,https://github.com/mongodb/mongo,C++,2009-01-15T16:15:18Z,2024-10-06T13:47:55Z,26172,5570,78,Other
7,Nosql-Exploitation-Framework,torque59,A Python Framework For NoSQL Scanning and Exploitation ,https://github.com/torque59/Nosql-Exploitation-Framework,Python,2013-12-26T17:46:11Z,2024-10-06T15:55:09Z,595,157,69,"BSD 3-Clause ""New"" or ""Revised"" License"
8,newsql_nosql_library,0voice,整理12种数据库相关资料，mysql，mariaDB，Percona Server，MongoDB，Redis，RocksDB，TiDB，CouchDB，Cassandra，TokuDB，MemDB，Oceanbase,https://github.com/0voice/newsql_nosql_library,,2021-09-04T15:20:10Z,2024-09-26T01:48:55Z,530,162,0,
9,scylladb,scylladb,"NoSQL data store using the seastar framework, compatible with Apache Cassandra",https://github.com/scylladb/scylladb,C++,2014-12-24T13:16:33Z,2024-10-06T14:32:58Z,13382,1267,3204,GNU Affero General Public License v3.0
10,nosql-unit,lordofthejars,NoSQL Unit is a JUnit extension that helps you write NoSQL unit tests.,https://github.com/lordofthejars/nosql-unit,Java,2012-05-15T17:25:43Z,2024-07-31T04:29:57Z,383,123,51,Other
11,LiteDB,mbdavid,LiteDB - A .NET NoSQL Document Store in a single data file,https://github.com/mbdavid/LiteDB,C#,2014-08-25T13:49:30Z,2024-10-06T15:39:09Z,8524,1242,709,MIT License
12,workshop-introduction-to-nosql,datastaxdevs,Learn NoSQL fundamentals in this hands-on workshop,https://github.com/datastaxdevs/workshop-introduction-to-nosql,,2021-03-29T06:56:23Z,2024-09-25T21:46:36Z,274,199,53,
13,nosql4idea,dboissier,NoSQL plugin for IntelliJ ,https://github.com/dboissier/nosql4idea,Java,2014-07-10T19:47:18Z,2024-05-20T19:34:02Z,166,44,11,Apache License 2.0
14,ledisdb,ledisdb,A high performance NoSQL Database Server powered by Go,https://github.com/ledisdb/ledisdb,Go,2014-04-30T00:43:09Z,2024-09-26T02:43:04Z,4097,434,1,MIT License
