,Repository_Name,Owner,Description,URL,Programming_Language,Creation_Date,Last_Updated_Date,Number_of_Stars,Number_of_Forks,Number_of_Open_Issues,License_Type
0,sql-server-samples,microsoft,"Azure Data SQL Samples - Official Microsoft GitHub Repository containing code samples for SQL Server, Azure SQL, Azure Synapse, and Azure SQL Edge",https://github.com/microsoft/sql-server-samples,,2016-03-11T21:42:56Z,2024-10-05T22:50:56Z,9974,8853,246,Other
1,sqlmap,sqlmapproject,Automatic SQL injection and database takeover tool,https://github.com/sqlmapproject/sqlmap,Python,2012-06-26T09:52:15Z,2024-10-06T15:18:42Z,32164,5683,61,Other
2,SqlSugar,DotNetNext,".Net aot ORM    Fastest ORM   Simple Easy VB.NET Sqlite  orm Oracle ORM Mysql Orm 虚谷数据库  postgresql ORm  SqlServer oRm     达梦 ORM 人大金仓 ORM 神通ORM  C# ORM , C# ORM .NET ORM NET5 ORM .NET6 ORM ClickHouse orm QuestDb ,TDengine ORM,OceanBase orm,GaussDB orm ,Tidb orm Object/Relational Mapping",https://github.com/DotNetNext/SqlSugar,C#,2015-07-13T05:07:40Z,2024-10-06T13:04:52Z,5312,1332,6,MIT License
3,mybatis-3,mybatis,MyBatis SQL mapper framework for Java,https://github.com/mybatis/mybatis-3,Java,2013-02-14T19:03:32Z,2024-10-06T07:15:33Z,19720,12823,215,Apache License 2.0
4,go-sqlite3,mattn,sqlite3 driver for go using database/sql,https://github.com/mattn/go-sqlite3,C,2011-11-11T12:36:50Z,2024-10-05T10:23:13Z,7910,1098,168,MIT License
5,sqlitebrowser,sqlitebrowser,"Official home of the DB Browser for SQLite (DB4S) project. Previously known as ""SQLite Database Browser"" and ""Database Browser for SQLite"". Website at: ",https://github.com/sqlitebrowser/sqlitebrowser,C++,2014-05-04T01:54:44Z,2024-10-06T12:52:00Z,21087,2124,690,Other
6,node-sqlite3,TryGhost,SQLite3 bindings for Node.js,https://github.com/TryGhost/node-sqlite3,PLpgSQL,2011-02-14T21:50:01Z,2024-10-05T00:01:45Z,6201,813,167,"BSD 3-Clause ""New"" or ""Revised"" License"
7,sql,opendistro-for-elasticsearch,🔍 Open Distro SQL Plugin,https://github.com/opendistro-for-elasticsearch/sql,Java,2018-12-19T20:20:57Z,2024-09-26T10:30:34Z,622,186,180,Apache License 2.0
8,sqlx,launchbadge,"🧰 The Rust SQL Toolkit. An async, pure Rust SQL crate featuring compile-time checked queries without a DSL. Supports PostgreSQL, MySQL, and SQLite.",https://github.com/launchbadge/sqlx,Rust,2019-12-28T10:40:57Z,2024-10-06T14:35:26Z,13181,1245,610,Apache License 2.0
9,sqlalchemy,sqlalchemy,The Database Toolkit for Python,https://github.com/sqlalchemy/sqlalchemy,Python,2018-11-27T03:35:03Z,2024-10-06T13:54:12Z,9513,1418,244,MIT License
10,sqlx,jmoiron,general purpose extensions to golang's database/sql,https://github.com/jmoiron/sqlx,Go,2013-01-28T19:40:00Z,2024-10-06T12:34:00Z,16079,1077,367,MIT License
11,wwwsqldesigner,ondras,"WWW SQL Designer, your online SQL diagramming tool",https://github.com/ondras/wwwsqldesigner,JavaScript,2012-09-21T10:33:11Z,2024-10-04T09:47:48Z,2867,725,89,"BSD 3-Clause ""New"" or ""Revised"" License"
12,soar,XiaoMi,SQL Optimizer And Rewriter,https://github.com/XiaoMi/soar,Go,2018-10-08T10:05:29Z,2024-10-06T15:56:53Z,8659,1319,72,Apache License 2.0
13,Exposed,JetBrains,Kotlin SQL Framework,https://github.com/JetBrains/Exposed,Kotlin,2013-07-30T12:55:27Z,2024-10-06T11:16:24Z,8283,690,166,Apache License 2.0
14,sqlcipher,sqlcipher,SQLCipher is a standalone fork of SQLite that adds 256 bit AES encryption of database files and other security features.,https://github.com/sqlcipher/sqlcipher,C,2008-07-30T17:20:41Z,2024-10-06T13:27:34Z,6178,1280,15,Other
15,SQLiteCpp,SRombauts,SQLiteC++ (SQLiteCpp) is a smart and easy to use C++ SQLite3 wrapper.,https://github.com/SRombauts/SQLiteCpp,C,2012-04-12T07:09:52Z,2024-10-03T10:06:35Z,2204,510,69,MIT License
16,SQLAdvisor,Meituan-Dianping,输入SQL，输出索引优化建议,https://github.com/Meituan-Dianping/SQLAdvisor,C,2017-03-01T07:01:17Z,2024-09-29T06:39:48Z,5565,1243,75,GNU General Public License v2.0
17,SQLite.swift,stephencelis,"A type-safe, Swift-language layer over SQLite3.",https://github.com/stephencelis/SQLite.swift,Swift,2014-10-04T18:23:46Z,2024-10-05T18:19:29Z,9696,1564,130,MIT License
18,dbeaver,dbeaver,Free universal database tool and SQL client,https://github.com/dbeaver/dbeaver,Java,2015-10-21T08:26:28Z,2024-10-06T13:15:18Z,39495,3415,2598,Apache License 2.0
19,sql-docs,MicrosoftDocs,"Technical documentation for Microsoft SQL Server, tools such as SQL Server Management Studio (SSMS) ,  SQL Server Data Tools (SSDT) etc.",https://github.com/MicrosoftDocs/sql-docs,PowerShell,2017-07-11T16:49:16Z,2024-10-05T18:50:03Z,1135,2828,15,Creative Commons Attribution 4.0 International
20,sqlc,sqlc-dev,Generate type-safe code from SQL,https://github.com/sqlc-dev/sqlc,Go,2019-06-21T21:11:35Z,2024-10-06T12:16:45Z,12508,784,456,MIT License
21,better-sqlite3,WiseLibs,The fastest and simplest library for SQLite3 in Node.js.,https://github.com/WiseLibs/better-sqlite3,C++,2016-09-07T16:48:37Z,2024-10-06T15:53:15Z,5441,394,88,MIT License
22,sqlite,sqlite,Official Git mirror of the SQLite source tree,https://github.com/sqlite/sqlite,C,2019-03-18T12:21:01Z,2024-10-06T13:16:27Z,6435,977,10,Other
23,elasticsearch-sql,NLPchina,Use SQL to query Elasticsearch,https://github.com/NLPchina/elasticsearch-sql,Java,2014-08-24T14:26:31Z,2024-09-27T03:51:02Z,6991,1538,322,Apache License 2.0
24,sql.js,sql-js,A javascript library to run SQLite on the web.  ,https://github.com/sql-js/sql.js,JavaScript,2012-02-27T03:05:49Z,2024-10-05T07:01:08Z,12591,1055,131,Other
25,sqlmodel,fastapi,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",https://github.com/fastapi/sqlmodel,Python,2021-08-24T14:26:53Z,2024-10-06T14:48:30Z,14208,630,235,MIT License
26,sqli-labs,Audi-1,"SQLI labs to test error based, Blind boolean based, Time based.",https://github.com/Audi-1/sqli-labs,PHP,2012-05-19T19:41:26Z,2024-10-06T13:58:36Z,5216,1509,33,
27,sqlpp11,rbock,A type safe SQL template library for C++,https://github.com/rbock/sqlpp11,C++,2013-08-13T19:49:34Z,2024-10-06T15:03:50Z,2459,342,33,"BSD 2-Clause ""Simplified"" License"
28,sqlfluff,sqlfluff,A modular SQL linter and auto-formatter with support for multiple dialects and templated code.,https://github.com/sqlfluff/sqlfluff,Python,2018-11-01T23:56:04Z,2024-10-06T11:37:07Z,7756,708,560,MIT License
29,sqlite-net,praeclarum,"Simple, powerful, cross-platform SQLite client and ORM for .NET",https://github.com/praeclarum/sqlite-net,C#,2011-04-26T17:33:28Z,2024-10-06T07:34:19Z,4036,1419,575,MIT License
30,sqlpad,sqlpad,Web-based SQL editor. Legacy project in maintenance mode.,https://github.com/sqlpad/sqlpad,JavaScript,2014-05-29T03:09:24Z,2024-10-06T03:22:05Z,5044,781,88,MIT License
31,sqlglot,tobymao,Python SQL Parser and Transpiler,https://github.com/tobymao/sqlglot,Python,2021-03-13T05:01:56Z,2024-10-06T03:28:30Z,6504,671,3,MIT License
32,sqlalchemy,zzzeek,THIS IS NOT THE OFFICIAL REPO - PLEASE SUBMIT PRs ETC AT: http://github.com/sqlalchemy/sqlalchemy,https://github.com/zzzeek/sqlalchemy,Python,2013-05-25T20:05:42Z,2024-10-05T21:14:42Z,3461,886,0,MIT License
33,PyMySQL,PyMySQL,MySQL client library for Python,https://github.com/PyMySQL/PyMySQL,Python,2011-07-27T17:38:47Z,2024-10-05T07:52:51Z,7656,1425,21,MIT License
34,sqlflow,sql-machine-learning,Brings SQL and AI together.,https://github.com/sql-machine-learning/sqlflow,Go,2018-10-04T06:00:50Z,2024-10-05T09:55:19Z,5078,697,251,Apache License 2.0
35,sql,socratica,Data and scripts for learning along with the Socratica SQL series,https://github.com/socratica/sql,PLSQL,2019-03-01T02:34:28Z,2024-09-28T03:49:35Z,153,140,4,MIT License
36,MySQLTuner-perl,major,MySQLTuner is a script written in Perl that will assist you with your MySQL configuration and make recommendations for increased performance and stability.,https://github.com/major/MySQLTuner-perl,Perl,2009-05-29T14:10:26Z,2024-10-06T08:19:14Z,8880,1281,30,GNU General Public License v3.0
37,datafusion,apache,Apache DataFusion SQL Query Engine,https://github.com/apache/datafusion,Rust,2021-04-17T15:40:23Z,2024-10-06T12:53:06Z,6042,1143,1188,Apache License 2.0
38,SQL,ronsavage,"BNF Grammars for SQL-92, SQL-99 and SQL-2003",https://github.com/ronsavage/SQL,HTML,2017-01-29T02:31:00Z,2024-09-28T13:04:48Z,370,92,3,MIT License
39,records,kennethreitz,SQL for Humans™,https://github.com/kennethreitz/records,Python,2014-12-24T15:20:23Z,2024-10-05T15:09:41Z,7151,572,41,ISC License
